rank	taxid	name	clade_reads	direct_reads	percent
S	146939	Azospira oryzae	8	0	0.00
S1	640081	Azospira oryzae PS	8	8	0.00
G1	2609269	unclassified Azospira	6	0	0.00
S	1765049	Azospira sp. I09	6	6	0.00
F	2008795	Azonexaceae	3	0	0.00
G	88875	Ferribacterium	3	0	0.00
S	76259	Ferribacterium limneticum	3	3	0.00
O	32003	Nitrosomonadales	1990	0	0.87
F	90627	Gallionellaceae	999	0	0.44
G	2943286	Sideroxyarcus	734	0	0.32
S	2764705	Sideroxyarcus emersonii	734	734	0.32
G	2249462	Ferrigenium	254	0	0.11
S	1682490	Ferrigenium kumadai	254	254	0.11
G	1443590	Ferriphaselus	6	0	0.00
S	1188319	Ferriphaselus amnicola	6	6	0.00
G	96	Gallionella	3	0	0.00
S	370405	Gallionella capsiferriformans	3	0	0.00
S1	395494	Gallionella capsiferriformans ES-2	3	3	0.00
G	314343	Sideroxydans	2	0	0.00
S	63745	Sideroxydans lithotrophicus	2	0	0.00
S1	580332	Sideroxydans lithotrophicus ES-1	2	2	0.00
F	32011	Methylophilaceae	348	1	0.15
G	16	Methylophilus	263	3	0.11
S	17	Methylophilus methylotrophus	234	234	0.10
G1	2630143	unclassified Methylophilus	16	0	0.01
S	1662285	Methylophilus sp. TWE2	15	15	0.01
S	3095607	Methylophilus sp. DW102	1	1	0.00
S	2588534	Methylophilus medardicus	10	10	0.00
G	359407	Methylotenera	70	1	0.03
S	1055487	Methylotenera versatilis	41	0	0.02
S1	666681	Methylotenera versatilis 301	41	41	0.02
S	359408	Methylotenera mobilis	28	0	0.01
S1	583345	Methylotenera mobilis JLW8	28	28	0.01
G	1679002	Candidatus Methylopumilus	9	1	0.00
S	2588536	Candidatus Methylopumilus universalis	4	4	0.00
S	1581680	Candidatus Methylopumilus turicensis	3	3	0.00
S	2588535	Candidatus Methylopumilus rimovensis	1	1	0.00
G	81682	Methylovorus	4	0	0.00
G1	2634027	unclassified Methylovorus	3	0	0.00
S	887061	Methylovorus sp. MP688	3	3	0.00
S	266009	Methylovorus glucosotrophus	1	0	0.00
S1	582744	Methylovorus glucosotrophus SIP3-4	1	1	0.00
G	2872156	Methyloradius	1	0	0.00
S	2778876	Methyloradius palustris	1	1	0.00
F	2008793	Sterolibacteriaceae	273	0	0.12
G	1054211	Sulfuritalea	179	0	0.08
S	748811	Sulfuritalea hydrogenivorans	179	0	0.08
S1	1223802	Sulfuritalea hydrogenivorans sk43H	179	179	0.08
G	157591	Sterolibacterium	52	0	0.02
S	157592	Sterolibacterium denitrificans	52	52	0.02
G	311181	Denitratisoma	22	0	0.01
S	311182	Denitratisoma oestradiolicum	22	22	0.01
G	1914449	Rugosibacter	20	0	0.01
S	1565605	Rugosibacter aromaticivorans	20	20	0.01
F	2772226	Sulfuricellaceae	155	0	0.07
G	935200	Sulfuricella	128	0	0.06
S	649841	Sulfuricella denitrificans	128	0	0.06
S1	1163617	Sulfuricella denitrificans skB26	128	128	0.06
G	2772198	Sulfurimicrobium	27	0	0.01
S	2715678	Sulfurimicrobium lacus	27	27	0.01
F	2803844	Usitatibacteraceae	129	0	0.06
G	2803845	Usitatibacter	129	0	0.06
S	2732067	Usitatibacter rugosus	129	129	0.06
F	206379	Nitrosomonadaceae	60	0	0.03
G	914	Nitrosomonas	58	3	0.03
S	916	Nitrosomonas eutropha	35	0	0.02
S1	335283	Nitrosomonas eutropha C91	35	35	0.02
G1	2609265	unclassified Nitrosomonas	11	0	0.00
S	2741553	Nitrosomonas sp. H1_AOB3	9	9	0.00
S	42353	Nitrosomonas sp.	1	1	0.00
S	3070658	Nitrosomonas sp. sh817	1	1	0.00
S	915	Nitrosomonas europaea	8	0	0.00
S1	228410	Nitrosomonas europaea ATCC 19718	8	8	0.00
S	44577	Nitrosomonas ureae	1	1	0.00
G	35798	Nitrosospira	2	0	0.00
S	1231	Nitrosospira multiformis	1	0	0.00
S1	323848	Nitrosospira multiformis ATCC 25196	1	1	0.00
S	1288494	Nitrosospira lacus	1	1	0.00
F	2008790	Thiobacillaceae	26	0	0.01
G	1938335	Sulfuritortus	26	0	0.01
S	1914471	Sulfuritortus calidifontis	26	26	0.01
C1	119066	Betaproteobacteria incertae sedis	159	0	0.07
F	2705999	Casimicrobiaceae	159	0	0.07
G	2706000	Casimicrobium	159	0	0.07
S	2591109	Casimicrobium huifangae	159	159	0.07
C	28211	Alphaproteobacteria	41396	10	18.08
O	356	Hyphomicrobiales	22167	27	9.68
F	2843308	Pleomorphomonadaceae	3607	0	1.58
G	1572860	Hartmannibacter	3607	0	1.58
S	1482074	Hartmannibacter diazotrophicus	3607	3607	1.58
F	69277	Phyllobacteriaceae	3555	0	1.55
G	31988	Aminobacter	1908	0	0.83
S	83265	Aminobacter niigataensis	1903	1903	0.83
G1	2644704	unclassified Aminobacter	5	0	0.00
S	2666139	Aminobacter sp. MDW-2	2	2	0.00
S	1870862	Aminobacter sp. SS-2016	1	1	0.00
S	2774562	Aminobacter sp. SR38	1	1	0.00
S	2979870	Aminobacter sp. NyZ550	1	1	0.00
G	68287	Mesorhizobium	1554	68	0.68
S	593909	Mesorhizobium opportunistum	1354	8	0.59
S1	536019	Mesorhizobium opportunistum WSM2075	1346	1346	0.59
G1	325217	unclassified Mesorhizobium	109	6	0.05
S	2493673	Mesorhizobium sp. M1B.F.Ca.ET.045.04.1.1	53	53	0.02
S	2744520	Mesorhizobium sp. 131-3-5	11	11	0.00
S	2493669	Mesorhizobium sp. M1D.F.Ca.ET.043.01.1.1	10	10	0.00
S	278153	Mesorhizobium sp. WSM1497	8	8	0.00
S	2493672	Mesorhizobium sp. M1E.F.Ca.ET.045.02.1.1	7	7	0.00
S	2744516	Mesorhizobium sp. 113-3-3	2	2	0.00
S	2493680	Mesorhizobium sp. M1A.F.Ca.IN.022.06.1.1	2	2	0.00
S	2493676	Mesorhizobium sp. M3A.F.Ca.ET.080.04.2.1	2	2	0.00
S	2956824	Mesorhizobium sp. C120A	1	1	0.00
S	2744517	Mesorhizobium sp. 113-3-9	1	1	0.00
S	2744515	Mesorhizobium sp. 113-1-2	1	1	0.00
S	2589967	Mesorhizobium sp. B2-1-8	1	1	0.00
S	2589888	Mesorhizobium sp. B4-1-4	1	1	0.00
S	2880934	Mesorhizobium sp. PAMC28654	1	1	0.00
S	2493675	Mesorhizobium sp. M4B.F.Ca.ET.058.02.1.1	1	1	0.00
S	2956834	Mesorhizobium sp. C416B	1	1	0.00
S	2775404	Mesorhizobium onobrychidis	16	16	0.01
S	39645	Mesorhizobium ciceri	2	1	0.00
S1	278148	Mesorhizobium ciceri biovar biserrulae	1	1	0.00
S	1777867	Mesorhizobium jarvisii	2	2	0.00
S	381	Mesorhizobium loti	1	1	0.00
S	71433	Mesorhizobium amorphae	1	0	0.00
S1	1082933	Mesorhizobium amorphae CCNWGS0123	1	1	0.00
S	2066070	Mesorhizobium japonicum	1	1	0.00
G	2911176	Aquibium	92	0	0.04
S	675281	Aquibium microcysteis	89	89	0.04
S	1670800	Aquibium oceanicum	3	3	0.00
G	449972	Chelativorans	1	0	0.00
G1	2643807	unclassified Chelativorans	1	0	0.00
S	3028735	Chelativorans sp. AA-79	1	1	0.00
F	41294	Nitrobacteraceae	2707	0	1.18
G	911	Nitrobacter	2281	0	1.00
S	913	Nitrobacter winogradskyi	2281	0	1.00
S1	323098	Nitrobacter winogradskyi Nb-255	2281	2281	1.00
G	374	Bradyrhizobium	425	22	0.19
S	1404411	Bradyrhizobium septentrionale	117	117	0.05
S	1355477	Bradyrhizobium diazoefficiens	90	90	0.04
S	1419277	Bradyrhizobium brasilense	57	57	0.02
S	190148	Bradyrhizobium paxllaeri	54	54	0.02
G1	2631580	unclassified Bradyrhizobium	48	2	0.02
S	2493093	Bradyrhizobium sp. LCT2	28	28	0.01
S	3139728	Bradyrhizobium sp. 27S5	13	13	0.01
S	2949629	Bradyrhizobium sp. CCGUVB1N3	1	1	0.00
S	2782641	Bradyrhizobium sp. 170	1	1	0.00
S	3139729	Bradyrhizobium sp. 26S5	1	1	0.00
S	2782660	Bradyrhizobium sp. 192	1	1	0.00
S	1325120	Bradyrhizobium sp. CCBAU 53421	1	1	0.00
S	2992140	Bradyrhizobium barranii	32	1	0.01
S1	2819348	Bradyrhizobium barranii subsp. apii	31	31	0.01
S	931866	Bradyrhizobium ottawaense	4	4	0.00
S	2840469	Bradyrhizobium sediminis	1	1	0.00
G	1395974	Tardiphaga	1	0	0.00
G1	2631404	unclassified Tardiphaga	1	1	0.00
F	82115	Rhizobiaceae	2532	0	1.11
G	323620	Shinella	1357	63	0.59
S	352475	Shinella zoogloeoides	951	951	0.42
S	2871820	Shinella oryzae	177	177	0.08
S	1967501	Shinella sumterensis	166	166	0.07
F1	227290	Rhizobium/Agrobacterium group	1165	0	0.51
G	379	Rhizobium	1026	1	0.45
S	240521	Rhizobium daejeonense	980	980	0.43
S	451876	Rhizobium rhizoryzae	39	39	0.02
S	398	Rhizobium tropici	2	0	0.00
S1	698761	Rhizobium tropici CIAT 899	2	2	0.00
G1	2613769	unclassified Rhizobium	2	0	0.00
S	2806346	Rhizobium sp. SL42	1	1	0.00
S	3039157	Rhizobium sp. CB3171	1	1	0.00
S	359	Rhizobium rhizogenes	1	1	0.00
S	2267833	Rhizobium oryzihabitans	1	1	0.00
G	357	Agrobacterium	137	0	0.06
S	1183413	Agrobacterium salinitolerans	74	74	0.03
G1	1183400	Agrobacterium tumefaciens complex	48	0	0.02
S	358	Agrobacterium tumefaciens	48	48	0.02
S	648995	Agrobacterium pusense	11	11	0.00
S	160699	Agrobacterium larrymoorei	4	4	0.00
G	1525371	Neorhizobium	2	0	0.00
S	399	Neorhizobium galegae	1	1	0.00
S	515361	Neorhizobium petrolearium	1	1	0.00
G	274591	Hoeflea	5	0	0.00
G1	2614931	unclassified Hoeflea	5	0	0.00
S	1620421	Hoeflea sp. IMCC20628	5	5	0.00
F1	227292	Sinorhizobium/Ensifer group	4	0	0.00
G	28105	Sinorhizobium	4	1	0.00
S	382	Sinorhizobium meliloti	1	0	0.00
S1	1235461	Sinorhizobium meliloti GR4	1	1	0.00
S	194963	Sinorhizobium americanum	1	0	0.00
S1	1408224	Sinorhizobium americanum CCGM7	1	1	0.00
S	716925	Sinorhizobium sojae	1	0	0.00
S1	716928	Sinorhizobium sojae CCBAU 05684	1	1	0.00
G	1648508	Ciceribacter	1	0	0.00
S	1969821	Ciceribacter thiooxidans	1	1	0.00
F	119045	Methylobacteriaceae	2521	0	1.10
G	186650	Microvirga	1779	0	0.78
S	1882682	Microvirga ossetica	1779	1779	0.78
G	407	Methylobacterium	739	0	0.32
S	334852	Methylobacterium oryzae	618	612	0.27
S1	693986	Methylobacterium oryzae CBMB20	6	6	0.00
S	114616	Methylobacterium nodulans	66	0	0.03
S1	460265	Methylobacterium nodulans ORS 2060	66	66	0.03
S	2202825	Methylobacterium durans	47	47	0.02
G1	2615210	unclassified Methylobacterium	4	0	0.00
S	2894310	Methylobacterium sp. NMS14P	2	2	0.00
S	925818	Methylobacterium sp. AMS5	1	1	0.00
S	2202826	Methylobacterium sp. 17Sr1-1	1	1	0.00
S	2051553	Methylobacterium currus	4	4	0.00
G	2282523	Methylorubrum	3	1	0.00
S	408	Methylorubrum extorquens	1	1	0.00
S	223967	Methylorubrum populi	1	0	0.00
S1	441620	Methylorubrum populi BJ001	1	1	0.00
F	335928	Xanthobacteraceae	1670	0	0.73
G	99	Ancylobacter	864	0	0.38
S	1745854	Ancylobacter pratisalsi	714	714	0.31
S	223390	Ancylobacter polymorphus	150	150	0.07
G	556257	Pseudolabrys	598	0	0.26
S	331696	Pseudolabrys taiwanensis	598	598	0.26
G	279	Xanthobacter	175	1	0.08
S	2528964	Xanthobacter dioxanivorans	161	161	0.07
G1	2623496	unclassified Xanthobacter	13	0	0.01
S	2419844	Xanthobacter sp. YC-JY1	13	13	0.01
G	6	Azorhizobium	33	0	0.01
S	7	Azorhizobium caulinodans	33	0	0.01
S1	438753	Azorhizobium caulinodans ORS 571	33	33	0.01
F	255475	Aurantimonadaceae	1654	0	0.72
G	414371	Aureimonas	912	0	0.40
S	1701758	Aureimonas populi	912	912	0.40
G	293088	Martelella	742	0	0.32
S	293089	Martelella mediterranea	739	0	0.32
S1	1122214	Martelella mediterranea DSM 17316	739	739	0.32
S	1486262	Martelella endophytica	3	3	0.00
F	45404	Beijerinckiaceae	930	0	0.41
G	1156568	Methylovirgula	839	0	0.37
S	569860	Methylovirgula ligni	839	839	0.37
G	120652	Methylocella	91	0	0.04
S	199596	Methylocella silvestris	90	0	0.04
S1	395965	Methylocella silvestris BL2	90	90	0.04
S	227605	Methylocella tundrae	1	1	0.00
F	2831106	Devosiaceae	746	0	0.33
G	46913	Devosia	639	0	0.28
S	400770	Devosia ginsengisoli	639	639	0.28
G	1082930	Pelagibacterium	107	0	0.05
G1	2623280	unclassified Pelagibacterium	107	0	0.05
S	2967130	Pelagibacterium sp. 26DY04	107	107	0.05
F	118882	Brucellaceae	733	0	0.32
G	354349	Pseudochrobactrum	732	0	0.32
S	2834768	Pseudochrobactrum algeriensis	732	732	0.32
F1	2826938	Brucella/Ochrobactrum group	1	0	0.00
G	234	Brucella	1	0	0.00
S	529	Brucella anthropi	1	1	0.00
F	2831090	Blastochloridaceae	716	0	0.31
G	59282	Blastochloris	716	0	0.31
S	1079	Blastochloris viridis	716	716	0.31
F	3149309	Methylopilaceae	485	0	0.21
G	2041902	Chenggangzhangella	485	0	0.21
S	1437009	Chenggangzhangella methanolivorans	485	485	0.21
F	2821832	Stappiaceae	142	0	0.06
G	227873	Pannonibacter	141	0	0.06
S	121719	Pannonibacter phragmitetus	141	141	0.06
G	1406135	Breoghania	1	0	0.00
G1	2624130	unclassified Breoghania	1	0	0.00
S	2065378	Breoghania sp.	1	1	0.00
F	2843305	Phreatobacteraceae	73	0	0.03
G	1632780	Phreatobacter	73	0	0.03
S	1940610	Phreatobacter stygius	43	43	0.02
S	1868589	Phreatobacter cathodiphilus	30	30	0.01
F	31993	Methylocystaceae	30	0	0.01
G	133	Methylocystis	30	0	0.01
S	391905	Methylocystis heyeri	29	29	0.01
S	173366	Methylocystis rosea	1	1	0.00
F	2813035	Parvibaculaceae	28	0	0.01
G	2838250	Kaustia	18	0	0.01
S	2593653	Kaustia mangrovi	18	18	0.01
G	256616	Parvibaculum	10	0	0.00
S	256618	Parvibaculum lavamentivorans	10	0	0.00
S1	402881	Parvibaculum lavamentivorans DS-1	10	10	0.00
F	2829814	Ahrensiaceae	4	0	0.00
G	1915401	Roseitalea	4	0	0.00
S	1852022	Roseitalea porphyridii	4	4	0.00
O1	119042	Hyphomicrobiales incertae sedis	3	0	0.00
G	2874214	Terrihabitans	3	0	0.00
S	708113	Terrihabitans soli	3	3	0.00
F	45401	Hyphomicrobiaceae	2	0	0.00
G	81	Hyphomicrobium	2	0	0.00
S	1427356	Hyphomicrobium nitrativorans	2	0	0.00
S1	1029756	Hyphomicrobium nitrativorans NL23	2	2	0.00
F	2831100	Boseaceae	1	0	0.00
G	85413	Bosea	1	0	0.00
S	1526658	Bosea vaviloviae	1	1	0.00
F	772	Bartonellaceae	1	0	0.00
G	773	Bartonella	1	0	0.00
S	38323	Bartonella henselae	1	1	0.00
O	204455	Rhodobacterales	10436	6	4.56
F	31989	Paracoccaceae	9784	0	4.27
G	1679449	Pseudooceanicola	4621	0	2.02
S	1537215	Pseudooceanicola algae	3876	3876	1.69
S	517719	Pseudooceanicola nitratireducens	745	745	0.33
G	265	Paracoccus	2484	6	1.08
S	34002	Paracoccus alcaliphilus	1685	1685	0.74
S	1499308	Paracoccus mutanolyticus	263	263	0.11
S	1945662	Paracoccus contaminans	228	228	0.10
S	2259340	Paracoccus suum	202	202	0.09
S	2560053	Paracoccus liaowanqingii	46	46	0.02
S	2065379	Paracoccus jeotgali	22	22	0.01
G1	2688777	unclassified Paracoccus (in: a-proteobacteria)	11	0	0.00
S	2895796	Paracoccus sp. MA	9	9	0.00
S	2500532	Paracoccus sp. Arc7-R13	1	1	0.00
S	2760307	Paracoccus sp. MC1862	1	1	0.00
S	34004	Paracoccus aminovorans	8	8	0.00
S	147645	Paracoccus yeei	5	5	0.00
S	659350	Paracoccus stylophorae	3	3	0.00
S	266	Paracoccus denitrificans	3	3	0.00
S	453842	Paracoccus aestuarii	2	2	0.00
G	2946607	Neotabrizicola	765	0	0.33
S	2807096	Neotabrizicola shimadae	765	765	0.33
G	1775705	Frigidibacter	705	0	0.31
S	1335048	Frigidibacter mobilis	705	705	0.31
G	119541	Rhodobaca	374	0	0.16
S	441209	Rhodobaca barguzinensis	374	374	0.16
G	2211641	Yoonia	260	0	0.11
S	245188	Yoonia vestfoldensis	260	260	0.11
G	1658781	Aliiroseovarius	244	0	0.11
S	154981	Aliiroseovarius crassostreae	244	244	0.11
G	1060	Rhodobacter	140	0	0.06
S	1061	Rhodobacter capsulatus	134	0	0.06
S1	272942	Rhodobacter capsulatus SB 1003	134	134	0.06
S	1850250	Rhodobacter xanthinilyticus	6	6	0.00
G	2818469	Fuscovulum	129	0	0.06
S	1075	Fuscovulum blasticum	128	128	0.06
S	3042299	Fuscovulum ytuae	1	1	0.00
G	285107	Thioclava	36	0	0.02
S	1915078	Thioclava nitratireducens	36	36	0.02
G	204456	Gemmobacter	15	0	0.01
S	2840474	Gemmobacter fulvus	15	15	0.01
G	2083206	Tritonibacter	6	0	0.00
S	379347	Tritonibacter mobilis	6	5	0.00
S1	1265309	Tritonibacter mobilis F1926	1	1	0.00
G	2831955	Pikeienuella	3	0	0.00
S	2748098	Pikeienuella piscinae	3	3	0.00
G	2211638	Limimaricola	2	0	0.00
S	1492771	Limimaricola variabilis	2	2	0.00
F	2854170	Roseobacteraceae	646	0	0.28
G	191028	Leisingera	443	0	0.19
S	506591	Leisingera caerulea	409	409	0.18
S	133924	Leisingera methylohalidivorans	22	0	0.01
S1	999552	Leisingera methylohalidivorans DSM 14336	22	22	0.01
G1	2614906	unclassified Leisingera	10	2	0.00
S	2867014	Leisingera sp. M527	3	3	0.00
S	2508307	Leisingera sp. NJS204	2	2	0.00
S	2867015	Leisingera sp. M658	2	2	0.00
S	2508306	Leisingera sp. NJS201	1	1	0.00
S	1396826	Leisingera aquaemixtae	2	2	0.00
G	302485	Phaeobacter	79	0	0.03
S	1580596	Phaeobacter piscinae	61	61	0.03
S	221822	Phaeobacter inhibens	17	17	0.01
G1	2621772	unclassified Phaeobacter	1	0	0.00
S	681157	Phaeobacter sp. LSS9	1	1	0.00
G	74030	Roseovarius	70	0	0.03
G1	2614913	unclassified Roseovarius	70	0	0.03
S	2823043	Roseovarius sp. SCSIO 43702	70	70	0.03
G	263377	Salipiger	35	0	0.02
S	1229727	Salipiger profundus	32	32	0.01
S	1250539	Salipiger abyssi	3	3	0.00
G	60136	Sulfitobacter	10	0	0.00
S	1917485	Sulfitobacter alexandrii	8	8	0.00
G1	196795	unclassified Sulfitobacter	2	0	0.00
S	2587855	Sulfitobacter sp. THAF37	2	2	0.00
G	53945	Octadecabacter	4	0	0.00
G1	196158	unclassified Octadecabacter	4	0	0.00
S	2602067	Octadecabacter sp. SW4	4	4	0.00
G	335927	Thalassovita	2	0	0.00
S	53501	Thalassovita gelatinovora	2	2	0.00
G	983507	Ponticoccus	1	0	0.00
S	1943633	Ponticoccus alexandrii	1	1	0.00
G	2854186	Pseudosulfitobacter	1	0	0.00
G1	2854199	unclassified Pseudosulfitobacter	1	0	0.00
S	2883100	Pseudosulfitobacter sp. DSM 107133	1	1	0.00
G	2433	Roseobacter	1	0	0.00
S	2434	Roseobacter denitrificans	1	1	0.00
O	204457	Sphingomonadales	6580	2	2.87
F	41297	Sphingomonadaceae	5642	25	2.46
G	13687	Sphingomonas	4344	1	1.90
S	2890321	Sphingomonas radiodurans	1321	1321	0.58
S	1549858	Sphingomonas taxi	938	938	0.41
S	185951	Sphingomonas aerolata	604	604	0.26
S	2599297	Sphingomonas suaedae	557	557	0.24
S	2759526	Sphingomonas aliaeris	547	547	0.24
S	1560345	Sphingomonas panacis	183	183	0.08
S	2899123	Sphingomonas cannabina	86	86	0.04
S	2938948	Sphingomonas glaciei	33	33	0.01
S	2872652	Sphingomonas nostoxanthinifaciens	31	31	0.01
G1	196159	unclassified Sphingomonas	29	15	0.01
S	2653203	Sphingomonas sp. CL5.1	5	5	0.00
S	2565555	Sphingomonas sp. PAMC26645	4	4	0.00
S	2219696	Sphingomonas sp. FARSPH	3	3	0.00
S	2955313	Sphingomonas sp. H160509	2	2	0.00
S	424800	Sphingomonas insulae	7	7	0.00
S	653931	Sphingomonas alpina	5	5	0.00
S	2698679	Sphingomonas changnyeongensis	2	2	0.00
G	165697	Sphingopyxis	899	5	0.39
S	33052	Sphingopyxis terrae	613	0	0.27
S1	2448440	Sphingopyxis terrae subsp. terrae	613	298	0.27
S2	1219058	Sphingopyxis terrae subsp. terrae NBRC 15098	315	315	0.14
G1	2614943	unclassified Sphingopyxis	156	5	0.07
S	2911495	Sphingopyxis sp. BSN-002	48	48	0.02
S	2976533	Sphingopyxis sp. PET50	35	35	0.02
S	2933562	Sphingopyxis sp. GC21	20	20	0.01
S	1874061	Sphingopyxis sp. EG6	18	18	0.01
S	292913	Sphingopyxis sp. 113P3	12	12	0.01
S	3114367	Sphingopyxis sp. TUF1	11	11	0.00
S	2968500	Sphingopyxis sp. DBS4	5	5	0.00
S	2482763	Sphingopyxis sp. YF1	1	1	0.00
S	2565556	Sphingopyxis sp. PAMC25046	1	1	0.00
S	267128	Sphingopyxis granuli	64	64	0.03
S	436663	Sphingopyxis indica	35	35	0.02
S	117207	Sphingopyxis alaskensis	18	0	0.01
S1	317655	Sphingopyxis alaskensis RB2256	18	18	0.01
S	33050	Sphingopyxis macrogoltabida	6	6	0.00
S	1515612	Sphingopyxis fribergensis	2	2	0.00
G	2676781	Aquisediminimonas	207	0	0.09
S	1550733	Aquisediminimonas profunda	207	207	0.09
G	165695	Sphingobium	94	1	0.04
S	13690	Sphingobium yanoikuyae	64	64	0.03
S	336203	Sphingobium fuliginis	25	20	0.01
S1	1208342	Sphingobium fuliginis ATCC 27551	5	5	0.00
G1	2611147	unclassified Sphingobium	2	0	0.00
S	627192	Sphingobium sp. SYK-6	1	1	0.00
S	2970925	Sphingobium sp. JS3065	1	1	0.00
S	120107	Sphingobium cloacae	1	1	0.00
S	1332080	Sphingobium baderi	1	1	0.00
G	165696	Novosphingobium	42	1	0.02
S	1176536	Novosphingobium ginsenosidimutans	37	37	0.02
G1	2644732	unclassified Novosphingobium	3	0	0.00
S	2571749	Novosphingobium sp. EMRT-2	3	3	0.00
S	2698673	Novosphingobium decolorationis	1	1	0.00
G	2685927	Tardibacter	26	0	0.01
S	1921510	Tardibacter chloracetimidivorans	26	26	0.01
G	1649486	Rhizorhabdus	2	0	0.00
S	160791	Rhizorhabdus wittichii	1	1	0.00
S	2711156	Rhizorhabdus phycosphaerae	1	1	0.00
G	1763827	Hankyongella	2	0	0.00
S	1763828	Hankyongella ginsenosidimutans	2	2	0.00
G	2676233	Sphingosinithalassobacter	1	0	0.00
S	2711215	Sphingosinithalassobacter tenebrarum	1	1	0.00
F	335929	Erythrobacteraceae	935	0	0.41
G	1855416	Qipengyuania	783	0	0.34
S	266951	Qipengyuania seohaensis	534	534	0.23
S	2867233	Qipengyuania aurantiaca	100	100	0.04
S	1532023	Qipengyuania sediminis	63	63	0.03
S	2782568	Qipengyuania soli	58	58	0.03
S	2867231	Qipengyuania gelatinilytica	26	26	0.01
G1	2645039	unclassified Qipengyuania	2	0	0.00
S	3113984	Qipengyuania sp. HL-TH1	2	2	0.00
G	2800686	Tsuneonella	115	0	0.05
S	2055955	Tsuneonella flava	109	109	0.05
S	692370	Tsuneonella dongtanensis	6	6	0.00
G	2800682	Paraurantiacibacter	18	0	0.01
S	645517	Paraurantiacibacter namhicola	18	18	0.01
G	361177	Altererythrobacter	16	0	0.01
G1	2614945	unclassified Altererythrobacter	16	0	0.01
S	3108391	Altererythrobacter sp. H2	11	11	0.00
S	2067415	Altererythrobacter sp. TH136	5	5	0.00
F1	2800788	Erythrobacter/Porphyrobacter group	2	0	0.00
G	1041	Erythrobacter	2	0	0.00
S	39960	Erythrobacter litoralis	2	2	0.00
G	2827482	Caenibius	1	0	0.00
G1	2827483	unclassified Caenibius	1	0	0.00
S	2872646	Caenibius sp. WL	1	1	0.00
F	2820280	Sphingosinicellaceae	1	0	0.00
G	335405	Sphingosinicella	1	0	0.00
S	335406	Sphingosinicella microcystinivorans	1	1	0.00
O	204441	Rhodospirillales	1755	0	0.77
F	433	Acetobacteraceae	753	10	0.33
G	1706033	Sediminicoccus	221	0	0.10
G1	3099324	unclassified Sediminicoccus	221	0	0.10
S	3133721	Sediminicoccus sp. KRV36	221	221	0.10
G	434	Acetobacter	196	67	0.09
S	431306	Acetobacter ghanensis	78	78	0.03
S	1076596	Acetobacter persici	36	36	0.02
G1	151157	Acetobacter subgen. Acetobacter	12	0	0.01
S	435	Acetobacter aceti	12	12	0.01
S	481146	Acetobacter ascendens	2	2	0.00
S	438	Acetobacter pasteurianus	1	1	0.00
G	504465	Rhodovastum	186	0	0.08
S	504468	Rhodovastum atsumiense	186	186	0.08
G	125216	Roseomonas	82	0	0.04
S	207340	Roseomonas mucosa	82	82	0.04
G	1434011	Komagataeibacter	56	1	0.02
S	1177712	Komagataeibacter medellinensis	55	0	0.02
S1	634177	Komagataeibacter medellinensis NBRC 3288	55	55	0.02
G	89583	Gluconacetobacter	1	0	0.00
S	33996	Gluconacetobacter diazotrophicus	1	0	0.00
S1	272568	Gluconacetobacter diazotrophicus PA1 5	1	1	0.00
G	2781897	Lichenicoccus	1	0	0.00
G1	2781900	environmental samples	1	0	0.00
S	2781901	uncultured Lichenicoccus sp.	1	1	0.00
F	2829815	Azospirillaceae	626	0	0.27
G	1543704	Niveispirillum	374	0	0.16
S	1612173	Niveispirillum cyanobacteriorum	374	374	0.16
G	191	Azospirillum	252	0	0.11
S	2202148	Azospirillum thermophilum	217	217	0.09
S	528244	Azospirillum thiophilum	29	29	0.01
S	1226968	Azospirillum humicireducens	4	4	0.00
G1	2630922	unclassified Azospirillum	2	0	0.00
S	652764	Azospirillum sp. TSH100	2	2	0.00
F	41295	Rhodospirillaceae	359	0	0.16
G	1612157	Pararhodospirillum	224	0	0.10
S	1084	Pararhodospirillum photometricum	224	0	0.10
S1	1150469	Pararhodospirillum photometricum DSM 122	224	224	0.10
G	13134	Magnetospirillum	132	0	0.06
S	55518	Magnetospirillum gryphiswaldense	132	110	0.06
S1	431944	Magnetospirillum gryphiswaldense MSR-1	22	0	0.01
S2	1430440	Magnetospirillum gryphiswaldense MSR-1 v2	22	22	0.01
G	1081	Rhodospirillum	3	0	0.00
S	34018	Rhodospirillum centenum	3	0	0.00
S1	414684	Rhodospirillum centenum SW	3	3	0.00
F	2690195	Elioraeaceae	10	0	0.00
G	457933	Elioraea	10	0	0.00
S	2843330	Elioraea tepida	10	10	0.00
F	2844864	Thalassobaculaceae	3	0	0.00
G	390876	Nisaea	3	0	0.00
S	1862145	Nisaea acidiphila	3	3	0.00
F	3031144	Dongiaceae	2	0	0.00
G	2705399	Hypericibacter	2	0	0.00
S	2602015	Hypericibacter terrae	2	2	0.00
F	3036766	Magnetospirillaceae	2	0	0.00
G	3031148	Paramagnetospirillum	2	0	0.00
S	84159	Paramagnetospirillum magneticum	2	0	0.00
S1	342108	Paramagnetospirillum magneticum AMB-1	2	2	0.00
O	204458	Caulobacterales	438	0	0.19
F	76892	Caulobacteraceae	438	0	0.19
G	75	Caulobacter	177	0	0.08
S	69395	Caulobacter henricii	138	138	0.06
S	88688	Caulobacter segnis	31	31	0.01
